equal_numbers time(seconds)
1.000000000000000000e+00 8.503100000000041181e-03
2.000000000000000000e+00 5.882999999999971585e-03
3.000000000000000000e+00 6.612200000000095779e-03
4.000000000000000000e+00 1.065940000000009658e-02
5.000000000000000000e+00 2.734660000000008195e-02
6.000000000000000000e+00 7.291150000000029552e-02
7.000000000000000000e+00 3.009247999999998813e-01
8.000000000000000000e+00 9.561991000000006347e-01
9.000000000000000000e+00 4.564803800000001743e+00
